measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,1,Male,22,All ages,294,All causes,1,Number,2009,1226270.8839387204,1229364.860382683,1223204.743818916
1,Deaths,102,United States of America,2,Female,22,All ages,294,All causes,1,Number,2009,1238663.1667167274,1241795.921707401,1235353.9690633374
1,Deaths,102,United States of America,3,Both,22,All ages,294,All causes,1,Number,2009,2464934.0506554525,2469686.4889759743,2460108.9075423684
1,Deaths,102,United States of America,1,Male,22,All ages,294,All causes,2,Percent,2009,1.0,1.0,1.0
1,Deaths,102,United States of America,2,Female,22,All ages,294,All causes,2,Percent,2009,1.0,1.0,1.0
1,Deaths,102,United States of America,3,Both,22,All ages,294,All causes,2,Percent,2009,1.0,1.0,1.0
1,Deaths,102,United States of America,1,Male,22,All ages,294,All causes,3,Rate,2009,813.122830074358,815.1744019702995,811.0897160501462
1,Deaths,102,United States of America,2,Female,22,All ages,294,All causes,3,Rate,2009,796.3422656422997,798.3563282817727,794.2147672007792
1,Deaths,102,United States of America,3,Both,22,All ages,294,All causes,3,Rate,2009,804.6028945508702,806.1541837741465,803.0278730551127
1,Deaths,102,United States of America,1,Male,26,70+ years,294,All causes,1,Number,2009,701555.178859935,703147.0748992264,700012.640173849
1,Deaths,102,United States of America,2,Female,26,70+ years,294,All causes,1,Number,2009,902540.1454062809,904609.9198906061,900422.637647817
1,Deaths,102,United States of America,3,Both,26,70+ years,294,All causes,1,Number,2009,1604095.324266216,1606951.7003614053,1601299.144761342
1,Deaths,102,United States of America,1,Male,26,70+ years,294,All causes,2,Percent,2009,1.0,1.0,1.0
1,Deaths,102,United States of America,2,Female,26,70+ years,294,All causes,2,Percent,2009,1.0,1.0,1.0
1,Deaths,102,United States of America,3,Both,26,70+ years,294,All causes,2,Percent,2009,1.0,1.0,1.0
1,Deaths,102,United States of America,1,Male,26,70+ years,294,All causes,3,Rate,2009,6229.507210191704,6243.642559988067,6215.810132390076
1,Deaths,102,United States of America,2,Female,26,70+ years,294,All causes,3,Rate,2009,5620.910443647609,5633.800747834247,5607.722862425175
1,Deaths,102,United States of America,3,Both,26,70+ years,294,All causes,3,Rate,2009,5871.797755601474,5882.253532444137,5861.562328633637
1,Deaths,102,United States of America,1,Male,27,Age-standardized,294,All causes,3,Rate,2009,653.0839999383817,654.7007274484549,651.5046052011319
1,Deaths,102,United States of America,2,Female,27,Age-standardized,294,All causes,3,Rate,2009,451.1401792244434,452.37305048685323,449.879543809569
1,Deaths,102,United States of America,3,Both,27,Age-standardized,294,All causes,3,Rate,2009,542.294141645635,543.3618188189906,541.2574218722717
1,Deaths,102,United States of America,1,Male,37,20+ years,294,All causes,1,Number,2009,1197356.1121476288,1200502.1673903714,1194311.4226720943
1,Deaths,102,United States of America,2,Female,37,20+ years,294,All causes,1,Number,2009,1219318.7534874056,1222469.3546182117,1216082.8743869022
1,Deaths,102,United States of America,3,Both,37,20+ years,294,All causes,1,Number,2009,2416674.865635033,2421413.898886969,2411881.2550064474
1,Deaths,102,United States of America,1,Male,37,20+ years,294,All causes,2,Percent,2009,1.0,1.0,1.0
1,Deaths,102,United States of America,2,Female,37,20+ years,294,All causes,2,Percent,2009,1.0,1.0,1.0
1,Deaths,102,United States of America,3,Both,37,20+ years,294,All causes,2,Percent,2009,1.0,1.0,1.0
1,Deaths,102,United States of America,1,Male,37,20+ years,294,All causes,3,Rate,2009,1111.133095631007,1114.0525997496477,1108.3076578119126
1,Deaths,102,United States of America,2,Female,37,20+ years,294,All causes,3,Rate,2009,1065.0003395769681,1067.7521969272987,1062.173997136971
1,Deaths,102,United States of America,3,Both,37,20+ years,294,All causes,3,Rate,2009,1087.368232160046,1089.5005314952098,1085.2113760645102
1,Deaths,102,United States of America,1,Male,158,<20 years,294,All causes,1,Number,2009,28914.771791091258,29129.687996870918,28701.223053926242
1,Deaths,102,United States of America,2,Female,158,<20 years,294,All causes,1,Number,2009,19344.413229322257,19506.962836790954,19177.70364993775
1,Deaths,102,United States of America,3,Both,158,<20 years,294,All causes,1,Number,2009,48259.18502041352,48555.78461495906,47971.553639442194
1,Deaths,102,United States of America,1,Male,158,<20 years,294,All causes,2,Percent,2009,1.0,1.0,1.0
1,Deaths,102,United States of America,2,Female,158,<20 years,294,All causes,2,Percent,2009,1.0,1.0,1.0
1,Deaths,102,United States of America,3,Both,158,<20 years,294,All causes,2,Percent,2009,1.0,1.0,1.0
1,Deaths,102,United States of America,1,Male,158,<20 years,294,All causes,3,Rate,2009,67.16536184364728,67.66458503764461,66.66931510647872
1,Deaths,102,United States of America,2,Female,158,<20 years,294,All causes,3,Rate,2009,47.11934164723179,47.51528182893403,46.71326855864735
1,Deaths,102,United States of America,3,Both,158,<20 years,294,All causes,3,Rate,2009,57.38022749386717,57.732884759057576,57.0382334451172
1,Deaths,44637,Low SDI,1,Male,26,70+ years,974,Diabetes and kidney diseases,1,Number,2009,44473.741862597555,48304.99740252854,40304.69316581202
1,Deaths,44637,Low SDI,2,Female,26,70+ years,974,Diabetes and kidney diseases,1,Number,2009,37601.569708118506,41816.55206596918,33294.756980799306
1,Deaths,44637,Low SDI,3,Both,26,70+ years,974,Diabetes and kidney diseases,1,Number,2009,82075.31157071615,88258.65889587584,75074.63376506968
1,Deaths,44637,Low SDI,1,Male,26,70+ years,974,Diabetes and kidney diseases,2,Percent,2009,0.061408040967050465,0.06591052012141048,0.05600777992669608
1,Deaths,44637,Low SDI,2,Female,26,70+ years,974,Diabetes and kidney diseases,2,Percent,2009,0.05656936083862488,0.062359791814336894,0.05012513641269199
1,Deaths,44637,Low SDI,3,Both,26,70+ years,974,Diabetes and kidney diseases,2,Percent,2009,0.05909208177261221,0.06288829095864977,0.05465031867481142
1,Deaths,44637,Low SDI,1,Male,26,70+ years,974,Diabetes and kidney diseases,3,Rate,2009,570.4075411121098,619.5461330177778,516.9365104248986
1,Deaths,44637,Low SDI,2,Female,26,70+ years,974,Diabetes and kidney diseases,3,Rate,2009,443.13469106871713,492.80827968496493,392.3788810792379
1,Deaths,44637,Low SDI,3,Both,26,70+ years,974,Diabetes and kidney diseases,3,Rate,2009,504.08013180191466,542.0562597628549,461.08422324624047
1,Deaths,44637,Low SDI,1,Male,27,Age-standardized,974,Diabetes and kidney diseases,3,Rate,2009,69.27364866622233,75.3983102245984,62.88447308184524
1,Deaths,44637,Low SDI,2,Female,27,Age-standardized,974,Diabetes and kidney diseases,3,Rate,2009,52.904022932483166,58.50813856619453,46.86618882301073
1,Deaths,44637,Low SDI,3,Both,27,Age-standardized,974,Diabetes and kidney diseases,3,Rate,2009,60.71083383971333,65.47147829357662,55.5584646587797
1,Deaths,44637,Low SDI,1,Male,37,20+ years,974,Diabetes and kidney diseases,1,Number,2009,108667.35758920612,118669.38255972689,99031.07046406533
1,Deaths,44637,Low SDI,2,Female,37,20+ years,974,Diabetes and kidney diseases,1,Number,2009,86775.32768868428,96232.01227173061,76810.39912901081
1,Deaths,44637,Low SDI,3,Both,37,20+ years,974,Diabetes and kidney diseases,1,Number,2009,195442.68527789027,210955.44759009662,179735.93641402002
